Id,V1,V2,Hashtag
557,2.598141606,-40.43724709,Merica
558,35.2870424,-2.340930675,ATL
559,87.25608609,-16.62823159,SuperBowlSunday
560,-47.92721696,15.55095449,drinks
561,-25.40976272,42.05266199,pride
562,9.472505988,39.25488848,sorry
563,11.11989993,44.63913509,noshame
564,-74.59824639,11.72343822,fresh
565,-22.45859627,-55.8100128,notmypresident
566,37.89717233,75.37729838,puppy
567,-28.91410819,44.00041566,valentines
568,-1.492955831,58.19163948,TuesdayMotivation
569,14.56758277,47.67609454,relatable
570,-44.52384818,-38.29808481,springbreak
571,-22.92698937,60.56144164,twitter
572,-22.72359223,-18.21060092,atlanta
573,-26.67976342,44.18204421,RelationshipGoals
574,-31.96846582,26.14482754,lifeisgood
575,-75.0864204,-26.95698512,Colorado
576,62.26981749,1.203446735,God
577,21.54894241,19.044088,BlackHistoryMonth
578,82.1560953,-17.46578797,DoYourJob
579,-26.8231013,59.06690674,apple
580,-0.139178281,-76.67359208,DNC
581,-61.60643942,50.92723097,Denver
582,-53.13633328,-29.63640301,pool
583,-39.52386763,22.65443267,friendship
584,-7.199537721,-35.50889018,MemorialDay
585,13.24700426,-24.02000259,CFAPeachBowl
586,34.022318,-25.94304212,HappyFathersDay
587,-51.50352354,-28.91927041,summertime
588,39.9985108,8.047841388,Periscope
589,13.15362599,-43.80393968,USMNT
590,-25.35360491,46.69805411,hope
591,-41.35459002,-31.85624369,Hawaii
592,-7.466399152,35.88970123,crazy
593,-65.15711224,59.54382953,Jobs
594,-27.86101306,14.7680673,team
595,31.91116359,10.17645523,SorryNotSorry
596,9.753434561,16.01288279,Batman
597,-5.525674667,12.69217154,NationalGirlfriendDay
598,-47.54376176,-37.01752887,paradise
599,43.30901975,-30.41322625,sports
600,-0.119755675,-19.25142026,NoDAPL
601,79.8119384,-18.87594861,FlyEaglesFly
602,81.11269648,25.05749718,gold
603,-18.17081956,63.2462579,money
604,-12.02521868,-5.380452181,church
605,19.04980544,0.181355059,UFC200
606,67.96114018,11.45876715,WWE
607,55.16117483,-59.92790175,letsgo
608,-4.088606322,-6.957245606,AllLivesMatter
609,-40.71880981,34.94765398,mothersday
610,-60.40906375,12.95268091,local
611,32.50898473,50.15651594,sexy
612,-49.08529156,30.79284225,holidays
613,-61.75308529,49.97815578,Detroit
614,85.11572036,24.25861263,OpeningCeremony
615,47.59436801,20.36127785,oldschool
616,-60.83071904,51.74034254,Austin
617,-31.58454433,16.01616049,newyear
618,90.38769053,-20.1448601,TNF
619,-4.50827742,54.23809009,realtalk
620,86.89644396,-19.73084432,Steelers
621,12.00662914,-48.21109766,Cuba
622,73.83948777,-14.60565545,PanthersWin
623,91.21636742,-20.92573776,MNF
624,66.02836168,-40.2761555,painting
625,49.86211425,-13.51469204,Summer
626,55.41762216,-64.91790238,GoCubsGo
627,-67.81429503,30.00947396,Starbucks
628,7.514029887,13.30175252,Pokemon
629,9.965248406,2.970144065,HTGAWM
630,49.10413193,-15.01109604,Tbt
631,42.191308,-37.44186314,Cleveland
632,-33.04163,-47.62078667,???????
633,-64.37285772,51.08843677,Vancouver
634,10.15463856,18.34892842,HarryPotter
635,46.47475566,-16.74188091,Views
636,33.73183944,67.84590302,catsofinstagram
637,-38.76644814,22.78858952,bestfriends
638,23.4875469,5.801729863,Beyonce
639,-37.18515638,-0.979712494,photographer
640,-10.84571695,-62.81198096,SCOTUS
641,-20.79816465,16.78394872,cantwait
642,-33.50117512,-20.3114708,colorado
643,-9.415811916,32.72066292,tired
644,49.89509463,16.82504418,youtube
645,39.72459244,41.16984651,black
646,-25.36165126,72.26491502,startup
647,50.74065364,-18.11360348,Sunset
648,-3.268408245,-72.95991074,DumpTrump
649,58.13982322,-69.63823955,Yankees
650,24.22864082,-29.57928222,hockey
651,-15.73834362,52.27555711,faith
652,-44.58212774,16.80613637,saturdaynight
653,-47.91162535,-9.695313583,autumn
654,-49.91739023,-16.12648257,moon
655,-31.95113384,18.50688925,latepost
656,16.67513145,43.99181769,ouch
657,10.91597765,-7.954143342,TheVoice
658,27.7072151,24.57585341,girlpower
659,3.784201556,3.794030813,Powerball
660,38.88152444,-4.080785084,FBF
661,-35.13748982,58.85168442,healthcare
662,48.04158996,28.36888196,nashville
663,-6.47581433,-36.44449854,VeteransDay
664,-27.16923147,24.3513807,girls
665,11.3002149,24.29198911,netflix
666,-30.22878296,38.92807704,bae
667,-23.47192357,24.9143797,nice
668,14.83770744,10.57388816,NationalBoyfriendDay
669,-70.09357495,14.26194598,organic
670,-23.49773079,28.529321,followme
671,25.94369961,32.54491271,movie
672,55.18965392,27.31505342,rock
673,-22.37819658,-22.79410817,NOLA
674,39.84766782,48.7561163,swag
675,-49.62206997,-67.73074267,centralpark
676,-53.87013281,-14.83251664,lake
677,-4.620601016,53.62051505,fact
678,4.656817348,63.63832854,power
679,-29.18992906,-36.94754485,bucketlist
680,-18.30456656,31.86773699,goodvibes
681,-21.3036193,-59.4360368,NotMyPresident
682,55.2837891,-63.39768491,RallyTogether
683,-0.149375635,-43.51204822,LGBT
684,-75.09047492,15.06860992,bacon
685,-18.26213416,63.1134489,future
686,-76.13957577,-26.20858105,Michigan
687,-65.06256497,59.44399053,Job
688,-6.670079378,-34.57805292,IndependenceDay
689,40.94413614,7.346915632,YouTube
690,-8.657090842,41.32008368,good
691,88.94689673,-21.26818733,NFLDraft
692,22.15453547,17.55150872,ThisIsUs
693,-30.66643504,72.66097327,technology
694,-40.22081249,8.089618179,happyfriday
695,-1.785733614,-8.560045891,PhilandoCastile
696,-44.8447216,-56.29038683,skyline
